Start time: 1725076794
Point-to-point pairwise experiments for nodes cluster-256-hpc-126 cluster-256-hpc-8
# OSU MPI Latency Test v5.8
# Size          Latency (us)
64                    242.01
128                   487.13
256                   918.47
512                  1770.76
1024                 3356.25
2048                 5970.74
4096                 9212.45
8192                13614.07
16384               18969.65
32768               21796.40
65536               23360.31
131072              24000.63
262144              24353.45
524288              24524.86
1048576             24609.55
2097152             24652.82
4194304             24671.56
Point-to-point pairwise experiments for nodes cluster-256-hpc-36 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.57
8                       1.57
16                      1.57
32                      1.73
64                      1.78
128                     1.82
256                     2.33
512                     2.48
1024                    2.60
2048                    2.73
4096                    3.49
8192                    4.00
16384                   5.29
32768                   6.86
65536                   9.12
131072                 13.96
262144                 17.13
524288                 27.75
1048576                49.79
2097152                92.30
4194304               176.75
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.90
2                       7.88
4                      15.58
8                      31.25
16                     61.83
32                    125.08
64                    245.44
128                   489.31
256                   914.93
512                  1703.65
1024                 3327.00
2048                 5989.38
4096                 9110.71
8192                13760.68
16384               19025.05
32768               21642.60
65536               23358.16
131072              24011.20
262144              24353.03
524288              24526.18
1048576             24611.62
2097152             24653.66
4194304             24672.64
Point-to-point pairwise experiments for nodes cluster-256-hpc-36 cluster-256-hpc-94
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.57
2                       1.57
4                       1.58
8                       1.58
16                      1.58
32                      1.74
64                      1.79
128                     1.84
256                     2.33
512                     2.46
1024                    2.66
2048                    2.74
4096                    3.50
8192                    4.01
16384                   5.29
32768                   6.75
65536                   8.78
131072                 13.56
262144                 17.25
524288                 27.92
1048576                49.38
2097152                92.73
4194304               176.79
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.92
2                       7.85
4                      15.67
8                      31.34
16                     62.32
32                    125.00
64                    244.30
128                   490.89
256                   914.14
512                  1694.19
1024                 3338.04
2048                 5869.18
4096                 9163.85
8192                13679.98
16384               19055.87
32768               21683.50
65536               23356.40
131072              24013.24
262144              24353.67
524288              24526.10
1048576             24611.85
2097152             24651.93
4194304             24672.76
Point-to-point pairwise experiments for nodes cluster-256-hpc-115 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.73
64                      1.78
128                     1.85
256                     2.35
512                     2.47
1024                    2.65
2048                    2.76
4096                    3.49
8192                    4.01
16384                   5.31
32768                   6.70
65536                   8.59
131072                 13.39
262144                 17.29
524288                 27.93
1048576                50.28
2097152                91.87
4194304               176.81
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.88
2                       7.85
4                      15.38
8                      31.42
16                     62.44
32                    125.46
64                    243.49
128                   492.71
256                   911.73
512                  1772.91
1024                 3329.02
2048                 6045.37
4096                 9180.43
8192                13793.56
16384               18885.18
32768               21876.29
65536               23359.55
131072              23882.16
262144              24350.84
524288              24525.85
1048576             24610.91
2097152             24652.93
4194304             24672.12
Point-to-point pairwise experiments for nodes cluster-256-hpc-115 cluster-256-hpc-94
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.60
1                       1.60
2                       1.60
4                       1.60
8                       1.61
16                      1.61
32                      1.75
64                      1.80
128                     1.88
256                     2.37
512                     2.50
1024                    2.60
2048                    2.77
4096                    3.52
8192                    4.02
16384                   5.32
32768                   6.83
65536                   9.11
131072                 13.79
262144                 17.28
524288                 28.01
1048576                50.37
2097152                91.94
4194304               176.89
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.87
2                       7.64
4                      15.41
8                      31.03
16                     62.15
32                    123.41
64                    242.52
128                   483.59
256                   912.50
512                  1758.04
1024                 3323.80
2048                 5914.47
4096                 9048.94
8192                13544.60
16384               18546.59
32768               21134.95
65536               23358.62
131072              23924.84
262144              24356.95
524288              24533.68
1048576             24612.17
2097152             24652.24
4194304             24658.54
Point-to-point pairwise experiments for nodes cluster-256-hpc-124 cluster-256-hpc-94
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.57
32                      1.71
64                      1.75
128                     1.80
256                     2.31
512                     2.43
1024                    2.58
2048                    2.72
4096                    3.46
8192                    4.00
16384                   5.29
32768                   6.85
65536                   9.05
131072                 13.80
262144                 17.17
524288                 27.77
1048576                49.80
2097152                92.25
4194304               176.75
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.96
2                       8.16
4                      16.03
8                      32.67
16                     64.32
32                    128.64
64                    246.47
128                   492.38
256                   948.82
512                  1770.27
1024                 3322.77
2048                 6058.66
4096                 9131.36
8192                13759.54
16384               18996.51
32768               21593.85
65536               23367.09
131072              23943.08
262144              24293.62
524288              24529.17
1048576             24609.01
2097152             24646.44
4194304             24614.74
Allreduce iteration 1

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     203.23
8                     104.42
16                     57.34
32                     72.24
64                     62.00
128                    58.85
256                    78.63
512                    75.24
1024                   59.11
2048                  102.05
4096                  131.92
8192                17353.80
16384               54093.67
32768               51270.29
65536               52658.57
131072              53307.35
262144              54175.44
524288              53510.18
1048576             53658.00
Allreduce iteration 2

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     182.40
8                      36.22
16                     49.92
32                     48.06
64                     43.09
128                    43.57
256                    81.65
512                    34.45
1024                   60.06
2048                   99.01
4096                  154.96
8192                18011.79
16384               54716.41
32768               52256.07
65536               52797.34
131072              53161.34
262144              53720.28
524288              52621.66
1048576             52801.92
Allreduce iteration 3

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     126.27
8                      32.89
16                     50.70
32                     32.16
64                     32.51
128                    50.71
256                    81.12
512                   118.75
