flux-sample-2 flux-sample-12
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      22.32
1                      22.37
2                      22.34
4                      22.36
8                      22.95
16                     22.98
32                     23.02
64                     23.13
128                    23.11
256                    23.13
512                    23.24
1024                   23.74
2048                   24.98
4096                   28.23
8192                   33.91
16384                  36.05
32768                  40.60
65536                  48.07
131072                115.27
262144                138.53
524288                242.87
1048576               453.56
2097152               876.55
4194304              1667.37
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.24
4                       2.51
8                       4.98
16                      9.96
32                     19.84
64                     39.68
128                    79.04
256                   158.02
512                   313.53
1024                  620.16
2048                 1215.18
4096                 2241.71
8192                 3589.73
16384                4393.17
32768                5403.93
65536                6257.74
131072               6324.53
262144               6471.84
524288               6566.67
1048576              6569.31
2097152              6523.80
4194304              6485.44
flux-sample-3 flux-sample-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                      38.20
1                      38.17
2                      38.16
4                      38.23
8                      38.79
16                     38.95
32                     38.96
64                     38.80
128                    39.24
256                    39.26
512                    39.66
1024                   40.44
2048                   41.89
4096                   45.14
8192                   51.88
16384                  55.68
32768                  61.69
65536                  71.30
131072                175.26
262144                196.40
524288                341.56
1048576               631.48
2097152              1209.93
4194304              2266.33
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.45
