Start time: 1725088207
Point-to-point pairwise experiments for nodes cluster-256-hpc-70 cluster-256-hpc-65
# OSU MPI Latency Test v5.8
# Size          Latency (us)
Point-to-point pairwise experiments for nodes cluster-256-hpc-76 cluster-256-hpc-72
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.59
8                       1.59
16                      1.59
32                      1.77
64                      1.81
128                     1.85
256                     2.36
512                     2.48
1024                    2.62
2048                    2.80
4096                    3.50
8192                    4.02
16384                   5.31
32768                   6.95
65536                   9.17
131072                 14.09
262144                 17.21
524288                 27.88
1048576                49.46
2097152                93.00
4194304               177.37
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.80
2                       7.50
4                      15.56
8                      31.21
16                     63.11
32                    123.42
64                    247.74
128                   471.16
256                   928.60
512                  1706.89
1024                 3266.91
2048                 5862.40
4096                 8905.15
8192                13538.21
16384               18380.59
32768               21134.18
65536               22874.93
131072              23884.76
262144              24351.27
524288              24525.51
1048576             24610.11
2097152             24643.97
4194304             24663.48
Point-to-point pairwise experiments for nodes cluster-256-hpc-112 cluster-256-hpc-124
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.75
64                      1.79
128                     1.84
256                     2.34
512                     2.46
1024                    2.64
2048                    2.77
4096                    3.49
8192                    4.01
16384                   5.33
32768                   6.78
65536                   8.72
131072                 13.58
262144                 17.28
524288                 27.86
1048576                49.35
2097152                92.79
4194304               176.86
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.98
2                       8.15
4                      16.08
8                      32.13
16                     63.85
32                    129.26
64                    248.47
128                   490.25
256                   944.22
512                  1697.82
1024                 3324.02
2048                 5980.12
4096                 9062.81
8192                13641.84
16384               18930.32
32768               21455.80
65536               23134.71
131072              23910.84
262144              24317.89
524288              24412.83
1048576             24552.67
2097152             24651.67
4194304             24672.92
Point-to-point pairwise experiments for nodes cluster-256-hpc-112 cluster-256-hpc-72
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.58
32                      1.75
64                      1.80
128                     1.84
256                     2.34
512                     2.45
1024                    2.64
2048                    2.76
4096                    3.48
8192                    4.00
16384                   5.30
32768                   6.92
65536                   9.15
131072                 13.93
262144                 17.18
524288                 27.82
1048576                49.35
2097152                92.73
4194304               176.79
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.07
2                       8.06
4                      16.26
8                      31.96
16                     64.70
32                    130.06
64                    248.29
128                   493.46
256                   951.05
512                  1772.44
1024                 3323.22
2048                 5966.63
4096                 9066.31
8192                13539.81
16384               19071.36
32768               21813.96
65536               23343.95
131072              23880.06
262144              24352.84
524288              24527.57
1048576             24598.26
2097152             24651.45
4194304             24661.08
Point-to-point pairwise experiments for nodes cluster-256-hpc-124 cluster-256-hpc-72
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.75
64                      1.80
128                     1.85
256                     2.34
512                     2.46
1024                    2.59
2048                    2.81
4096                    3.48
8192                    3.99
16384                   5.29
32768                   6.85
65536                   9.24
131072                 13.98
262144                 17.18
524288                 27.84
1048576                49.32
2097152                92.67
4194304               176.76
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.10
2                       8.08
4                      16.38
8                      31.92
16                     65.49
32                    130.16
64                    246.92
128                   496.45
256                   940.95
512                  1782.98
1024                 3372.10
2048                 5962.51
4096                 9156.05
8192                13694.71
16384               19046.72
32768               21318.38
65536               23353.46
131072              24012.58
262144              24353.37
524288              24527.28
1048576             24611.31
2097152             24646.66
4194304             24629.37
Allreduce iteration 1

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    1110.90
8                    1056.44
16                   1155.94
32                   1577.23
64                   1013.15
128                  1084.05
256                  1221.61
512                  1373.06
1024                  998.15
2048                 1174.51
4096                 1151.61
[1725088413.916058] [cluster-256-hpc-65:12751:0]        mm_posix.c:238  UCX  ERROR   shm_open(file_name=/ucx_shm_posix_109d2c7f flags=0x0) failed: No such file or directory
[1725088413.916127] [cluster-256-hpc-65:14977:0]        mm_posix.c:238  UCX  ERROR shm_open(file_name=/ucx_shm_posix_797dbc12 flags=0x0) failed: No such file or directory
[1725088413.916209] [cluster-256-hpc-65:14977:0] tl_ucp_sendrecv.h:108  TL_UCP ERROR tag 34; dest 64; team_id 32768; errmsg Shared memory error
[1725088413.916130] [cluster-256-hpc-65:15312:0]        mm_posix.c:238  UCX  ERROR shm_open(file_name=/ucx_shm_posix_770ee672 flags=0x0) failed: No such file or directory
