Start time: 1724890271
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
8                      32.45
16                     64.71
32                    126.34
64                    242.15
128                   483.05
256                   951.43
512                  1790.54
1024                 3379.84
2048                 5955.64
4096                 9111.72
8192                13624.15
16384               18839.59
32768               21491.56
65536               22957.12
131072              23802.56
262144              24199.63
524288              24289.38
1048576             24444.96
2097152             24456.92
4194304             24480.98
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-29 cpu-cluster-hpc-2
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.61
1                       1.60
2                       1.61
4                       1.62
8                       1.61
16                      1.65
32                      1.85
64                      1.84
128                     1.87
256                     2.38
512                     2.48
1024                    2.60
2048                    2.77
4096                    3.51
8192                    4.10
16384                   5.36
32768                   6.78
65536                   9.04
131072                 13.66
262144                 17.29
524288                 27.96
1048576                49.50
2097152                91.97
4194304               177.49
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.93
2                       7.78
4                      15.67
8                      31.17
16                     63.06
32                    121.30
64                    246.97
128                   486.02
256                   923.31
512                  1735.63
1024                 3341.47
2048                 5932.24
4096                 9082.95
8192                13636.49
16384               19055.75
32768               21744.66
65536               23343.10
131072              24001.79
262144              24342.18
524288              24524.28
1048576             24610.59
2097152             24652.70
4194304             24673.48
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-22 cpu-cluster-hpc-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.56
4                       1.56
8                       1.56
16                      1.56
32                      1.71
64                      1.77
128                     1.80
256                     2.31
512                     2.41
1024                    2.55
2048                    2.73
4096                    3.49
8192                    4.07
16384                   5.30
32768                   6.77
65536                   8.83
131072                 13.56
262144                 17.18
524288                 27.92
1048576                49.61
2097152                92.39
4194304               178.26
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.97
2                       7.97
4                      16.22
8                      32.42
16                     64.31
32                    126.59
64                    249.93
128                   495.40
256                   945.50
512                  1757.81
1024                 3356.84
2048                 5993.09
